date,category,product,quantity,price,total,customerid,paymentmethod
2022-05-03,Snacks,Candy,1000.0,99999.0,99999000.0,CUST3032,Card
2023-12-11,Frozen,Frozen Meat,-5.0,241.91,-1209.55,CUST6447,Card
2022-03-27,Vegetables,Onion,11.0,-10.0,50.0,CUST3972,UPI
2022-03-08,Fruits,Banana,1000.0,99999.0,99999000.0,XXXX,UPI
2021-10-22,Snacks,Candy,-5.0,215.09,-1075.45,CUST6455,Card
2022-11-17,Beverages,Coffee,-5.0,-10.0,50.0,XXXX,Card
2022-11-21,Fruits,Banana,11.0,-10.0,50.0,XXXX,Wallet
2021-11-03,Vegetables,Spinach,1000.0,99999.0,99999000.0,XXXX,UPI
2021-11-28,Snacks,Chips,8.0,217.1,1736.8,CUST2239,Card
2022-06-14,Bakery,Bun,-5.0,242.135,50.0,XXXX,INVALID
2023-09-22,Fruits,Grapes,1000.0,99999.0,99999000.0,XXXX,Card
2022-01-30,Meat,Beef,11.0,-10.0,50.0,XXXX,INVALID
2022-06-04,Snacks,Candy,1000.0,99999.0,99999000.0,XXXX,Wallet
2023-08-21,Meat,Lamb,-5.0,242.135,50.0,CUST5821,Card
2021-10-14,Dairy,Butter,11.0,-10.0,50.0,XXXX,Wallet
2023-02-19,Vegetables,Spinach,1000.0,-10.0,-10000.0,CUST4981,Wallet
2022-02-23,Snacks,Nuts,1000.0,-10.0,-10000.0,CUST4958,UPI
2022-07-03,Dairy,Butter,3.0,-10.0,-30.0,XXXX,Card
2023-07-12,Meat,Chicken,-5.0,-10.0,50.0,CUST4764,INVALID
2022-10-27,Vegetables,Onion,1000.0,242.135,50.0,XXXX,Wallet
2023-12-04,Beverages,Coffee,-5.0,99999.0,-499995.0,XXXX,Card
2021-02-02,Fruits,Grapes,1000.0,99999.0,99999000.0,XXXX,UPI
2021-07-11,Beverages,Juice,-5.0,-10.0,50.0,CUST4290,UPI
2021-07-14,Snacks,Chips,11.0,-10.0,50.0,XXXX,Cash
2022-12-10,Beverages,Juice,13.0,352.8,4586.400000000001,XXXX,Card
2023-01-30,Fruits,Mango,8.0,184.51,1476.08,XXXX,Card
2023-03-16,Meat,Lamb,1000.0,242.135,50.0,XXXX,INVALID
2021-12-18,Beverages,Coke,1000.0,16.76,16760.0,XXXX,Cash
2023-09-24,Fruits,Grapes,-5.0,99999.0,-499995.0,XXXX,Card
2023-06-03,Dairy,Cheese,9.0,99999.0,899991.0,XXXX,Card
2023-04-17,Meat,Lamb,1000.0,-10.0,-10000.0,XXXX,Wallet
2022-01-20,Beverages,Water,11.0,242.135,50.0,CUST2965,Card
2022-01-28,Snacks,Candy,7.0,39.76,278.32,CUST4852,Wallet
2023-08-22,Snacks,Chips,-5.0,458.14,-2290.7,XXXX,Wallet
2022-09-08,Vegetables,Potato,-5.0,242.135,50.0,XXXX,INVALID
2022-06-22,Frozen,Frozen Meat,3.0,99999.0,299997.0,CUST9496,Card
2022-09-07,Bakery,Cake,11.0,242.135,50.0,XXXX,INVALID
2022-06-30,Dairy,Yogurt,1000.0,11.81,11810.0,XXXX,Cash
2021-10-13,Bakery,Donut,-5.0,367.9,-1839.5,XXXX,Cash
2021-05-31,Bakery,Croissant,3.0,341.4,1024.1999999999998,XXXX,Card
2021-02-25,Meat,Beef,11.0,261.5,50.0,XXXX,Card
2022-01-15,Frozen,Frozen Pizza,1000.0,-10.0,-10000.0,XXXX,INVALID
2021-01-29,Beverages,Water,1000.0,99999.0,99999000.0,XXXX,Cash
2022-06-08,Beverages,Coffee,1000.0,99999.0,99999000.0,XXXX,Card
2023-08-04,Bakery,Bun,11.0,296.35,50.0,CUST5208,INVALID
2022-09-05,Dairy,Yogurt,-5.0,242.135,50.0,XXXX,INVALID
2022-06-09,Dairy,Milk,5.0,-10.0,-50.0,XXXX,Cash
2023-06-11,Dairy,Yogurt,1000.0,99999.0,99999000.0,CUST1545,Cash
2021-02-09,Bakery,Croissant,-5.0,-10.0,50.0,CUST8370,Cash
2022-07-27,Fruits,Orange,11.0,144.33,50.0,XXXX,INVALID
2023-05-18,Dairy,Cheese,11.0,460.38,50.0,XXXX,Card
2023-08-03,Frozen,Frozen Pizza,11.0,170.63,50.0,XXXX,Wallet
2021-12-16,Bakery,Bread,-5.0,99999.0,-499995.0,CUST5457,UPI
2021-08-20,Dairy,Yogurt,11.0,99999.0,50.0,CUST1065,Cash
2022-11-23,Dairy,Yogurt,19.0,99999.0,1899981.0,CUST5254,Card
2022-10-23,Snacks,Chips,1000.0,242.135,50.0,XXXX,INVALID
2021-07-12,Dairy,Cream,1000.0,99999.0,99999000.0,CUST8902,UPI
2022-12-30,Bakery,Cake,11.0,88.42,50.0,XXXX,Wallet
2021-04-24,Dairy,Milk,-5.0,276.22,-1381.1,CUST6051,Cash
2023-04-21,Beverages,Water,13.0,11.75,152.75,XXXX,Card
2021-01-01,Snacks,Nuts,1000.0,242.135,50.0,CUST5350,INVALID
2021-07-15,Fruits,Grapes,-5.0,99999.0,-499995.0,XXXX,Card
2022-05-14,Beverages,Juice,11.0,-10.0,50.0,XXXX,Card
2021-02-10,Dairy,Yogurt,12.0,242.135,50.0,XXXX,Card
2022-05-26,Vegetables,Onion,11.0,242.135,50.0,XXXX,Cash
2023-08-20,Frozen,Frozen Meat,-5.0,346.39,-1731.9499999999998,CUST8805,UPI
2023-04-09,Beverages,Water,-5.0,338.61,-1693.0500000000002,CUST7289,INVALID
2022-12-26,Bakery,Cake,-5.0,242.135,50.0,XXXX,INVALID
2021-03-03,Fruits,Mango,-5.0,-10.0,50.0,XXXX,Wallet
2022-08-10,Fruits,Mango,1000.0,67.57,67570.0,XXXX,INVALID
2021-05-17,Dairy,Milk,1000.0,262.52,262520.0,CUST2074,Card
2022-05-03,Frozen,Ice Cream,11.0,242.135,50.0,CUST1493,INVALID
2022-07-27,Vegetables,Onion,11.0,99999.0,1099989.0,CUST7858,Card
2021-03-14,Dairy,Milk,1000.0,99999.0,99999000.0,CUST2551,Wallet
2023-11-19,Bakery,Croissant,11.0,166.5,50.0,XXXX,UPI
2022-04-02,Meat,Pork,-5.0,99999.0,-499995.0,XXXX,INVALID
2022-11-03,Beverages,Coffee,11.0,361.42,50.0,CUST2564,Wallet
2022-12-30,Beverages,Coke,7.0,-10.0,-70.0,CUST2250,INVALID
2022-10-18,Beverages,Coffee,11.0,246.72,50.0,CUST9180,UPI
2022-06-18,Frozen,Ice Cream,5.0,242.135,50.0,CUST2902,Cash
2021-11-23,Dairy,Cream,4.0,360.9,1443.6,XXXX,Card
2022-10-11,Bakery,Cake,16.0,99999.0,1599984.0,XXXX,Wallet
2022-09-16,Vegetables,Onion,-5.0,242.135,50.0,XXXX,Card
2023-03-18,Bakery,Croissant,1000.0,-10.0,-10000.0,XXXX,INVALID
2021-12-05,Fruits,Apple,1.0,335.24,335.24,XXXX,Cash
2021-03-28,Frozen,Ice Cream,11.0,-10.0,50.0,XXXX,Card
2023-09-27,Snacks,Cookies,10.0,-10.0,-100.0,CUST7637,Wallet
2023-02-28,Vegetables,Onion,1.0,-10.0,-10.0,CUST7577,Card
2023-01-16,Fruits,Banana,1000.0,55.88,55880.0,XXXX,Card
2022-06-29,Snacks,Chips,-5.0,99999.0,-499995.0,XXXX,Card
2022-06-11,Meat,Beef,1000.0,104.6,104600.0,XXXX,INVALID
2023-10-04,Fruits,Orange,-5.0,99999.0,-499995.0,XXXX,Card
2023-04-08,Bakery,Croissant,1000.0,99999.0,99999000.0,XXXX,UPI
2021-10-04,Meat,Beef,-5.0,99999.0,-499995.0,CUST4135,INVALID
2022-04-03,Frozen,Frozen Veg,1000.0,99999.0,99999000.0,CUST1337,Cash
2022-06-13,Meat,Fish,1000.0,-10.0,-10000.0,XXXX,Wallet
2023-09-14,Beverages,Coke,-5.0,328.28,-1641.4,XXXX,UPI
2022-01-01,Bakery,Bun,-5.0,435.87,-2179.35,XXXX,INVALID
2022-10-05,Beverages,Coffee,11.0,99999.0,50.0,XXXX,Card
2022-12-18,Vegetables,Potato,1000.0,34.07,34070.0,XXXX,Cash
2021-04-14,Frozen,Frozen Fish,-5.0,-10.0,50.0,CUST7773,INVALID
2021-05-29,Dairy,Cheese,5.0,242.135,50.0,CUST4268,Card
2022-05-22,Snacks,Chocolate,11.0,42.99,50.0,CUST9546,Card
2021-11-16,Snacks,Nuts,1000.0,242.135,50.0,XXXX,Wallet
2022-12-12,Frozen,Frozen Fish,1000.0,-10.0,-10000.0,CUST3042,Wallet
2021-06-03,Meat,Lamb,17.0,99999.0,1699983.0,CUST3373,Card
2023-07-21,Frozen,Frozen Meat,11.0,242.135,50.0,XXXX,Wallet
2021-10-09,Snacks,Cookies,-5.0,-10.0,50.0,XXXX,UPI
2023-06-27,Snacks,Chips,-5.0,273.21,-1366.05,XXXX,UPI
2022-02-08,Bakery,Bread,1000.0,-10.0,-10000.0,CUST1576,Wallet
2021-08-30,Vegetables,Onion,1000.0,-10.0,-10000.0,CUST5894,Card
2023-03-18,Dairy,Yogurt,1000.0,242.135,50.0,CUST5344,INVALID
2023-05-13,Frozen,Frozen Pizza,13.0,242.135,50.0,CUST8118,Wallet
2023-01-28,Meat,Fish,1000.0,322.92,322920.0,CUST1627,Cash
2023-01-01,Meat,Pork,-5.0,242.135,50.0,CUST9341,UPI
2023-09-16,Fruits,Orange,1000.0,99999.0,99999000.0,XXXX,INVALID
2021-04-15,Fruits,Orange,-5.0,242.135,50.0,XXXX,Wallet
2023-08-28,Beverages,Coffee,-5.0,482.93,-2414.65,XXXX,UPI
2023-11-20,Dairy,Yogurt,1000.0,159.83,159830.0,XXXX,Card
2023-10-12,Beverages,Juice,12.0,99999.0,1199988.0,XXXX,UPI
2021-08-07,Beverages,Juice,12.0,236.87,2842.44,XXXX,Cash
2022-02-19,Beverages,Coffee,11.0,-10.0,50.0,XXXX,UPI
2022-09-13,Snacks,Cookies,-5.0,242.135,50.0,XXXX,Cash
2023-01-20,Vegetables,Potato,2.0,99999.0,199998.0,XXXX,Wallet
2023-05-11,Frozen,Frozen Fish,1000.0,490.93,490930.0,XXXX,Card
2022-02-16,Fruits,Grapes,14.0,-10.0,-140.0,CUST6147,Cash
2022-11-21,Beverages,Pepsi,1000.0,81.29,81290.0,CUST9275,Card
2021-04-30,Meat,Beef,1000.0,421.62,421620.0,CUST5248,INVALID
2023-07-01,Meat,Chicken,-5.0,99999.0,-499995.0,CUST6834,UPI
2023-08-11,Dairy,Cheese,3.0,99999.0,299997.0,XXXX,Cash
2023-08-16,Beverages,Juice,11.0,99999.0,50.0,XXXX,Cash
2022-03-30,Frozen,Frozen Pizza,-5.0,242.135,50.0,XXXX,INVALID
2022-02-05,Beverages,Coke,-5.0,242.135,50.0,XXXX,Cash
2022-05-08,Snacks,Cookies,11.0,465.78,50.0,XXXX,Card
2023-12-06,Frozen,Frozen Veg,-5.0,99999.0,-499995.0,CUST9331,UPI
2022-08-29,Snacks,Chocolate,5.0,242.135,50.0,CUST5772,Cash
2022-02-27,Meat,Beef,11.0,242.135,50.0,XXXX,Card
2021-03-11,Bakery,Croissant,11.0,99999.0,1099989.0,CUST4517,Card
2022-11-22,Bakery,Donut,11.0,242.135,50.0,CUST3671,UPI
2022-10-08,Fruits,Orange,1000.0,99999.0,99999000.0,CUST4763,UPI
2023-03-12,Meat,Lamb,-5.0,330.62,-1653.1,XXXX,Wallet
2021-07-10,Beverages,Water,11.0,-10.0,50.0,CUST1703,INVALID
2023-01-01,Beverages,Coffee,18.0,-10.0,-180.0,XXXX,Card
2021-12-20,Snacks,Chips,17.0,-10.0,-170.0,XXXX,UPI
2021-07-07,Snacks,Chips,13.0,440.49,5726.37,XXXX,Card
2021-10-08,Frozen,Frozen Fish,1000.0,242.135,50.0,XXXX,UPI
2021-06-27,Snacks,Nuts,11.0,242.135,50.0,XXXX,Cash
2023-08-01,Snacks,Candy,1.0,-10.0,-10.0,XXXX,UPI
2021-04-20,Fruits,Mango,12.0,206.08,2472.96,CUST9161,Card
2021-01-20,Vegetables,Onion,11.0,242.135,50.0,XXXX,Card
2021-05-15,Beverages,Water,11.0,-10.0,50.0,CUST7536,Card
2022-07-29,Dairy,Butter,-5.0,242.135,50.0,XXXX,Card
2022-07-19,Meat,Pork,10.0,-10.0,-100.0,XXXX,Card
2021-12-15,Bakery,Cake,1000.0,-10.0,-10000.0,XXXX,Cash
2022-11-14,Dairy,Butter,18.0,-10.0,-180.0,CUST1028,INVALID
2021-02-14,Frozen,Frozen Veg,1000.0,-10.0,-10000.0,XXXX,Card
2023-07-03,Frozen,Frozen Veg,-5.0,489.88,-2449.4,XXXX,Card
2022-06-03,Snacks,Chips,1000.0,-10.0,-10000.0,XXXX,Wallet
2021-02-07,Snacks,Chocolate,-5.0,99999.0,-499995.0,XXXX,UPI
2022-04-09,Frozen,Frozen Pizza,2.0,394.25,788.5,CUST6034,Card
2021-03-12,Frozen,Frozen Pizza,8.0,239.26,1914.08,XXXX,INVALID
2021-12-26,Bakery,Donut,1000.0,99999.0,99999000.0,CUST4328,Cash
2023-04-29,Meat,Pork,1000.0,340.83,340830.0,XXXX,INVALID
2022-05-06,Frozen,Ice Cream,6.0,-10.0,-60.0,CUST9031,Card
2021-01-06,Vegetables,Tomato,1000.0,-10.0,-10000.0,CUST5933,Wallet
2023-07-10,Frozen,Frozen Fish,1000.0,413.11,413110.0,XXXX,Card
2022-01-21,Snacks,Chips,7.0,99999.0,699993.0,CUST4536,UPI
2022-06-22,Fruits,Orange,-5.0,277.96,-1389.8,CUST2863,Card
2021-11-18,Fruits,Mango,11.0,-10.0,50.0,XXXX,Cash
2023-04-26,Vegetables,Carrot,6.0,-10.0,-60.0,XXXX,UPI
2022-03-20,Vegetables,Carrot,7.0,-10.0,-70.0,XXXX,Card
2021-07-13,Bakery,Donut,1000.0,242.135,50.0,CUST9899,UPI
2023-10-06,Bakery,Cake,15.0,-10.0,-150.0,CUST4647,INVALID
2022-10-31,Meat,Pork,11.0,-10.0,50.0,XXXX,Wallet
2021-08-08,Vegetables,Onion,11.0,-10.0,50.0,XXXX,Card
2021-06-12,Frozen,Ice Cream,9.0,242.135,50.0,XXXX,Card
2021-08-26,Snacks,Nuts,11.0,99999.0,50.0,XXXX,Wallet
2021-02-16,Vegetables,Carrot,1000.0,99999.0,99999000.0,CUST4201,Card
2021-03-06,Fruits,Mango,11.0,242.135,50.0,XXXX,Card
2023-10-01,Bakery,Cake,9.0,-10.0,-90.0,CUST5029,Card
2021-03-19,Bakery,Cake,9.0,461.81,4156.29,XXXX,Cash
2023-07-05,Fruits,Apple,-5.0,242.135,50.0,XXXX,Wallet
2021-10-11,Dairy,Cream,8.0,-10.0,-80.0,CUST7384,INVALID
2022-09-05,Vegetables,Potato,1000.0,65.34,65340.0,XXXX,Card
2023-09-16,Vegetables,Spinach,1000.0,-10.0,-10000.0,XXXX,Card
2023-11-08,Beverages,Juice,-5.0,-10.0,50.0,CUST1099,INVALID
2022-05-26,Bakery,Croissant,11.0,277.02,50.0,XXXX,Card
2021-01-02,Vegetables,Spinach,11.0,99999.0,50.0,XXXX,Card
2021-11-05,Snacks,Candy,1000.0,99999.0,99999000.0,XXXX,Card
2023-03-22,Bakery,Cake,-5.0,-10.0,50.0,CUST9008,Wallet
2022-03-11,Meat,Beef,-5.0,-10.0,50.0,XXXX,INVALID
2021-01-04,Beverages,Coke,19.0,99999.0,1899981.0,CUST4101,Cash
2021-08-31,Beverages,Water,19.0,332.05,6308.95,XXXX,Cash
2023-02-27,Frozen,Frozen Pizza,17.0,-10.0,-170.0,CUST8024,Card
2022-09-03,Fruits,Mango,11.0,246.19,50.0,CUST2381,Card
2022-08-16,Meat,Chicken,1000.0,99999.0,99999000.0,XXXX,Cash
2022-09-18,Snacks,Candy,14.0,345.26,4833.639999999999,CUST7963,Card
2023-11-16,Beverages,Juice,11.0,99999.0,50.0,XXXX,UPI
2023-10-06,Fruits,Mango,1000.0,433.08,433080.0,XXXX,UPI
2023-12-27,Frozen,Frozen Meat,11.0,99999.0,50.0,CUST9247,Wallet
2021-05-22,Fruits,Grapes,1000.0,-10.0,-10000.0,XXXX,INVALID
2023-03-22,Vegetables,Potato,1000.0,73.72,73720.0,XXXX,Cash
2022-01-20,Fruits,Grapes,-5.0,99999.0,-499995.0,XXXX,INVALID
2022-09-10,Fruits,Orange,-5.0,-10.0,50.0,XXXX,INVALID
2023-12-04,Fruits,Banana,1000.0,242.135,50.0,XXXX,Card
2022-11-21,Fruits,Orange,-5.0,99999.0,-499995.0,CUST5709,Card
2021-03-03,Beverages,Pepsi,7.0,242.135,50.0,XXXX,Wallet
2022-06-07,Meat,Lamb,11.0,475.63,50.0,XXXX,UPI
2022-06-03,Vegetables,Spinach,5.0,-10.0,-50.0,CUST3839,Card
2021-02-13,Dairy,Cream,20.0,450.57,9011.4,XXXX,Wallet
2022-06-07,Frozen,Frozen Pizza,12.0,99999.0,1199988.0,XXXX,Card
2021-03-02,Snacks,Nuts,-5.0,99999.0,-499995.0,XXXX,Cash
2022-11-16,Snacks,Chips,1000.0,99999.0,99999000.0,CUST1326,INVALID
2023-08-07,Bakery,Bread,1000.0,-10.0,-10000.0,XXXX,UPI
2021-02-16,Beverages,Juice,10.0,242.135,50.0,XXXX,INVALID
2021-12-01,Dairy,Yogurt,-5.0,349.94,-1749.7,XXXX,UPI
2023-01-04,Snacks,Chocolate,-5.0,395.45,-1977.25,CUST6625,Cash
2023-12-09,Vegetables,Tomato,11.0,50.39,50.0,CUST4421,UPI
2021-03-06,Meat,Lamb,-5.0,57.57,-287.85,CUST6317,UPI
2021-11-09,Beverages,Pepsi,-5.0,99999.0,-499995.0,CUST9679,INVALID
2022-05-08,Fruits,Banana,-5.0,242.135,50.0,CUST7180,Card
2021-10-22,Dairy,Butter,1000.0,99999.0,99999000.0,XXXX,Card
2022-08-07,Bakery,Croissant,11.0,-10.0,50.0,CUST2872,INVALID
2023-04-09,Frozen,Frozen Fish,11.0,99999.0,50.0,XXXX,Card
2021-11-11,Meat,Chicken,7.0,-10.0,-70.0,CUST8802,Card
2023-09-14,Meat,Beef,1000.0,242.135,50.0,XXXX,INVALID
2021-09-08,Beverages,Coffee,-5.0,-10.0,50.0,XXXX,Wallet
2023-12-15,Fruits,Banana,-5.0,-10.0,50.0,XXXX,UPI
