Date,Category,Product,Quantity,Price,Total,CustomerID,PaymentMethod
2022-05-03,Snacks,Candy,1000.0,99999.0,99999000.0,CUST3032,Card
2023-12-11,Frozen,Frozen Meat,-5.0,241.91,-1209.55,CUST6447,
2022-03-27,Vegetables,Onion,,-10.0,,CUST3972,UPI
2022-03-08,Fruits,Banana,1000.0,99999.0,99999000.0,XXXX,UPI
2021-10-22,Snacks,Candy,-5.0,215.09,-1075.45,CUST6455,
2022-11-17,Beverages,Coffee,-5.0,-10.0,50.0,,
2022-11-21,Fruits,Banana,,-10.0,,XXXX,Wallet
2021-11-03,Vegetables,Spinach,1000.0,99999.0,99999000.0,XXXX,UPI
2021-11-28,Snacks,Chips,8.0,217.1,1736.8,CUST2239,
2022-06-14,Bakery,Bun,-5.0,,,,INVALID
2023-09-22,Fruits,Grapes,1000.0,99999.0,99999000.0,XXXX,Card
2022-01-30,Meat,Beef,,-10.0,,XXXX,INVALID
2022-06-04,Snacks,Candy,1000.0,99999.0,99999000.0,,Wallet
2023-08-21,Meat,Lamb,-5.0,,,CUST5821,Card
2021-10-14,Dairy,Butter,,-10.0,,XXXX,Wallet
2023-02-19,Vegetables,Spinach,1000.0,-10.0,-10000.0,CUST4981,Wallet
2022-02-23,Snacks,Nuts,1000.0,-10.0,-10000.0,CUST4958,UPI
2022-07-03,Dairy,Butter,3.0,-10.0,-30.0,,Card
2023-07-12,Meat,Chicken,-5.0,-10.0,50.0,CUST4764,INVALID
2022-10-27,Vegetables,Onion,1000.0,,,,Wallet
2023-12-04,Beverages,Coffee,-5.0,99999.0,-499995.0,,
2021-02-02,Fruits,Grapes,1000.0,99999.0,99999000.0,XXXX,UPI
2021-07-11,Beverages,Juice,-5.0,-10.0,50.0,CUST4290,UPI
2021-07-14,Snacks,Chips,,-10.0,,,Cash
2022-12-10,Beverages,Juice,13.0,352.8,4586.400000000001,,Card
2023-01-30,Fruits,Mango,8.0,184.51,1476.08,XXXX,
2023-03-16,Meat,Lamb,1000.0,,,,INVALID
2021-12-18,Beverages,Coke,1000.0,16.76,16760.0,XXXX,Cash
2023-09-24,Fruits,Grapes,-5.0,99999.0,-499995.0,,
2022-04-23,Snacks,Cookies,1000.0,,,,INVALID
2023-06-03,Dairy,Cheese,9.0,99999.0,899991.0,,
2023-04-17,Meat,Lamb,1000.0,-10.0,-10000.0,XXXX,Wallet
2022-01-20,Beverages,Water,,,,CUST2965,Card
2022-01-28,Snacks,Candy,7.0,39.76,278.32,CUST4852,Wallet
2023-08-22,Snacks,Chips,-5.0,458.14,-2290.7,,Wallet
2022-09-08,Vegetables,Potato,-5.0,,,,INVALID
2022-06-22,Frozen,Frozen Meat,3.0,99999.0,299997.0,CUST9496,
2022-09-07,Bakery,Cake,11.0,,,,INVALID
2022-06-30,Dairy,Yogurt,1000.0,11.81,11810.0,,Cash
2021-10-13,Bakery,Donut,-5.0,367.9,-1839.5,,Cash
2021-05-31,Bakery,Croissant,3.0,341.4,1024.1999999999998,,
2021-02-25,Meat,Beef,,261.5,,,
2022-01-15,Frozen,Frozen Pizza,1000.0,-10.0,-10000.0,,INVALID
2021-01-29,Beverages,Water,1000.0,99999.0,99999000.0,XXXX,Cash
2022-06-08,Beverages,Coffee,1000.0,99999.0,99999000.0,,Card
2023-08-04,Bakery,Bun,,296.35,,CUST5208,INVALID
2022-09-05,Dairy,Yogurt,-5.0,,,,INVALID
2022-06-09,Dairy,Milk,5.0,-10.0,-50.0,,Cash
2023-06-11,Dairy,Yogurt,1000.0,99999.0,99999000.0,CUST1545,Cash
2021-02-09,Bakery,Croissant,-5.0,-10.0,50.0,CUST8370,Cash
2022-07-27,Fruits,Orange,,144.33,,XXXX,INVALID
2023-05-18,Dairy,Cheese,,460.38,,,
2023-08-03,Frozen,Frozen Pizza,,170.63,,XXXX,Wallet
2021-12-16,Bakery,Bread,-5.0,99999.0,-499995.0,CUST5457,UPI
2021-08-20,Dairy,Yogurt,,99999.0,,CUST1065,Cash
2022-11-23,Dairy,Yogurt,19.0,99999.0,1899981.0,CUST5254,Card
2022-10-23,Snacks,Chips,1000.0,,,,INVALID
2021-07-12,Dairy,Cream,1000.0,99999.0,99999000.0,CUST8902,UPI
2022-12-30,Bakery,Cake,,88.42,,,Wallet
2021-04-24,Dairy,Milk,-5.0,276.22,-1381.1000000000001,CUST6051,Cash
2023-04-21,Beverages,Water,13.0,11.75,152.75,XXXX,
2021-01-01,Snacks,Nuts,1000.0,,,CUST5350,INVALID
2021-07-15,Fruits,Grapes,-5.0,99999.0,-499995.0,XXXX,
2022-05-14,Beverages,Juice,,-10.0,,XXXX,
2021-02-10,Dairy,Yogurt,12.0,,,,
2022-05-26,Vegetables,Onion,,,,,Cash
2023-08-20,Frozen,Frozen Meat,-5.0,346.39,-1731.9499999999998,CUST8805,UPI
2023-04-09,Beverages,Water,-5.0,338.61,-1693.0500000000002,CUST7289,INVALID
2022-12-26,Bakery,Cake,-5.0,,,XXXX,INVALID
2021-03-03,Fruits,Mango,-5.0,-10.0,50.0,XXXX,Wallet
2022-08-10,Fruits,Mango,1000.0,67.57,67570.0,XXXX,INVALID
2021-05-17,Dairy,Milk,1000.0,262.52,262520.0,CUST2074,
